Flight Date/Time,Model,Aircraft ID,Route,Takeoffs (D/N),Full Stop (D/N),Inst App (D/N),SE,ME,Complex,Turbine,Rotorcraft,Sim/FTD,X/Ctry,Actual Inst (D/N),Sim Inst (D/N),Total Time (D/N),PIC Time (D/N),Dual Received,As Instructor,Flight Remarks
"Mar 15, 1997",DA-20,PH-USH,EHLE,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
"Oct 6, 1996",FA-200,PH-GIN,EHLE,1,1,,0.3,,,,,, ,,,0.3,,,,Aerobatics
"Apr 20, 1996",23,PH-MBS,EGJB - LFAY - EBKT - EHLE,3,3,,4.4,,,,,,4.4,,,4.4,4.4,,,Pax: Carla van der Boon
"Apr 19, 1996",23,PH-MBS,EGJB - EGJA - EGJJ - EGJB,3,3,,2.5,,,,,,2.5,,,2.5,2.5,,,Pax: Carla van der Boon
"Apr 18, 1996",23,PH-MBS,EHLE - LFRG - EGJB,2,2,,5.5,,,,,,5.5,,,5.5,5.5,,,Pax: Carla van der Boon
"Jan 30, 1996",DA-20,PH-USH,EHLE,1,1,,0.8,,,,,, ,,,0.8,0.8,,,
"Nov 4, 1995",FA-200,PH-JEJ,EHLE,1,1,,0.7,,,,,, ,,,0.7,0.7,0.7,,Basic Aerobatics
"Aug 14, 1995",DA-20,PH-USH,EHLE,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
"Aug 13, 1995",DA-20,PH-USH,EHLE,1,1,,1.3,,,,,, ,,,1.3,1.0,1.3,,
"Aug 4, 1995",DA-20,PH-USH,EHLE - EHMZ - EHLE,2,2,,2.4,,,,,,2.4,,,2.4,2.4,,,
"Jul 13, 1995",DA-20,PH-USH,EHLE - EHTX - EHAL - EHLE,3,3,,2.6,,,,,,2.6,,,2.6,2.6,2.6,,
"May 4, 1995",DA-20,PH-USH,EHLE,3,3,,0.9,,,,,, ,,,0.9,0.9,,,
"Oct 19, 1994",Rallye,PH-VAR,EHHV,1,1,,1.3,,,,,, ,,,1.3,1.3,,,
"Oct 1, 1994",152,PH-PJM,EHAM,3,3,,1.3,,,,,, ,,,1.3,1.3,,,Basic IFR
"Aug 9, 1994",Rallye,PH-RNC,EHHV - EHMZ - EHBD - EHHV,3,3,,3.3,,,,,,3.3,,,3.3,3.3,,,
"Mar 27, 1994",Rallye,PH-RNB,EHHV,1,1,,1.1,,,,,, ,,,1.1,1.1,,,Pax: Allard Wendrich
"Nov 5, 1993",Rallye,PH-AFG,EHHV,1,1,,0.9,,,,,, ,,,0.9,0.9,,,
"Aug 29, 1993",Rallye,PH-RNB,EHHV - EHTX - EHHV,2,2,,1.8,,,,,,1.8,,,1.8,1.8,,,Pax: Henny Kortland
"Aug 25, 1993",Rallye,PH-RNC,EHHV,1,1,,1.1,,,,,, ,,,1.1,1.1,,,
"Aug 16, 1993",Rallye,PH-RNC,EHHV,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
"Aug 11, 1993",Rallye,PH-RNC,EHHV,1,1,,0.8,,,,,, ,,,0.8,0.8,,,
"Jun 26, 1993",Rallye,PH-VAR,EHHV,1,1,,0.3,,,,,, ,,,0.3,0.3,,,
"Jun 6, 1993",Rallye,PH-VAR,EHHV,1,1,,1.2,,,,,, ,,,1.2,1.2,,,Pax: Marcel Kolder
"Mar 25, 1993",TB-9,PH-BEA,EHHV,1,1,,1.1,,,,,, ,,1.0,1.1,1.1,1.1,,
"Mar 18, 1993",TB-9,PH-BEA,EHHV,5,5,,0.9,,,,,, ,,,0.9,0.9,,,
"Mar 11, 1993",Rallye,PH-VAR,EHHV,1,1,,1.1,,,,,, ,,1.0,1.1,1.1,1.1,,Basic IFR
"Mar 4, 1993",Rallye,PH-RNB,EHHV,1,1,,0.9,,,,,, ,,,0.9,0.9,,,
"Aug 23, 1992",Rallye,PH-RNB,EHHV - EHTX,,,,1.9,,,,,,1.9,,,1.9,,,,Pax: Daniela Davis
"Jul 22, 1992",Rallye,PH-VAR,EHHV,5,5,,0.8,,,,,, ,,,0.8,0.8,,,A2 Examination
"Jul 20, 1992",Rallye,PH-VAR,EHHV,1,1,,1.0,,,,,, ,,,1.0,1.0,1.0,,
"Jun 11, 1992",Rallye,PH-DBX,EHHV,1,1,,1.3,,,,,, ,,,1.3,1.0,1.3,,
"May 28, 1992",Rallye,PH-RNB,EHHV,1,1,,1.0,,,,,, ,,,1.0,1.0,1.0,,
"May 20, 1992",Rallye,PH-AFG,EHHV - EHTX - EHHO - EHHV,3,3,,3.4,,,,,,3.4,,,3.4,3.4,3.4,,Navigation
"May 13, 1992",Rallye,PH-RNC,EHHV,1,1,,1.0,,,,,, ,,,1.0,1.0,1.0,,
"May 9, 1992",Rallye,PH-RNC,EHHV,1,1,,1.1,,,,,,1.1,,,1.1,1.1,1.1,,Navigation
"May 7, 1992",Rallye,PH-AFG,EHHV,1,1,,0.9,,,,,, ,,,0.9,0.9,0.9,,
"Apr 29, 1992",Rallye,PH-AFG,EHHV,1,1,,0.9,,,,,, ,,,0.9,0.9,0.9,,
"Apr 10, 1992",Rallye,PH-AFG,EHHV,1,1,,1.1,,,,,, ,,,1.1,1.1,1.1,,
"Apr 7, 1992",Rallye,PH-RNC,EHHV - EHRD - EHHV,5,5,,1.3,,,,,,1.3,,,1.3,1.3,1.3,,
"Mar 19, 1992",Rallye,PH-RNC,EHHV,1,1,,0.9,,,,,, ,,,0.9,0.9,0.9,,
"Mar 1, 1992",Rallye,PH-RNC,EHHV,1,1,,0.8,,,,,, ,,,0.8,0.8,0.8,,
"Jan 23, 1992",Rallye,PH-RNC,EHHV,1,1,,0.8,,,,,, ,,,0.8,0.8,0.8,,
"Jan 16, 1992",Rallye,PH-RNC,EHHV,11,11,,0.9,,,,,, ,,,0.9,0.9,0.9,,
"Oct 25, 1991",Rallye,PH-RNB,EHHV - EHTX - EHHO - EHHV,3,3,,3.2,,,,,,3.2,,,3.2,3.2,3.2,,Navigation
"Oct 24, 1991",Rallye,PH-AFG,EHHV,1,1,,1.0,,,,,, ,,,1.0,1.0,1.0,,
"Oct 14, 1991",Rallye,PH-AFG,EHHV,1,1,,0.8,,,,,, ,,,0.8,0.3,0.8,,First Solo
"Oct 10, 1991",Rallye,PH-RNC,EHHV,1,1,,1.2,,,,,, ,,,1.2,,1.2,,
"Oct 1, 1991",Rallye,PH-AFG,EHHV,1,1,,0.5,,,,,, ,,,0.5,,0.5,,
"Sep 17, 1991",Rallye,PH-AFG,EHHV,1,1,,0.9,,,,,, ,,,0.9,,0.9,,
"Aug 29, 1991",Rallye,PH-AFG,EHHV,1,1,,0.8,,,,,, ,,,0.8,,0.8,,
"Aug 18, 1991",Rallye,PH-AFG,EHHV,1,1,,1.1,,,,,, ,,,1.1,,1.1,,
"Aug 13, 1991",Rallye,PH-RNC,EHHV,1,1,,1.0,,,,,, ,,,1.0,,1.0,,
"Jul 26, 1991",Rallye,PH-RNC,EHHV,1,1,,0.8,,,,,, ,,,0.8,,0.8,,
"Jul 22, 1991",Rallye,PH-DBX,EHHV,1,1,,0.9,,,,,, ,,,0.9,,0.9,,
"Jul 20, 1991",Rallye,PH-AFG,EHHV,1,1,,0.8,,,,,, ,,,0.8,,0.8,,
"Jul 13, 1991",Rallye,PH-AFG,EHHV,1,1,,1.9,,,,,, ,,,1.9,,1.9,,
"Jul 9, 1991",Rallye,PH-AFG,EHHV,1,1,,1.0,,,,,, ,,,1.0,,1.0,,
"Jul 6, 1991",Rallye,PH-AFG,EHHV,1,1,,1.1,,,,,, ,,,1.1,,1.1,,
"Jun 30, 1991",Rallye,PH-AFG,EHHV,1,1,,1.2,,,,,, ,,,1.2,,1.2,,
"Jun 23, 1991",Rallye,PH-AFG,EHHV,1,1,,0.9,,,,,, ,,,0.9,,0.9,,
"Jun 18, 1991",Rallye,PH-RNC,EHHV,1,1,,0.8,,,,,, ,,,0.8,,0.8,,
"Jun 14, 1991",Rallye,PH-RNC,EHHV,1,1,,0.7,,,,,, ,,,0.7,,0.7,,First Lesson
